id,company,department,age,age_when_joined,years_in_the_company,salary,annual_bonus,prior_years_experience,full_time,part_time,contractor
57,Pear,Sales,34,34,1,129132.7537,24792.91,2,0.588913714,0,0.904818439
58,Cheerper,Support,35,31,4,53730.64341,23657.60107,1,0,0.916824614,0.7644189
59,Glasses,Search Engine,30,26,3,75560.60123,21012.49504,3,0.280513583,0.496810631,0.222723484
60,Pear,Design,41,39,2,82724.97627,22890.4798,1,0,0,1
61,Cheerper,Support,30,22,9,85781.07986,22851.0511,3,0.290527455,1,0
62,Glasses,Design,46,43,3,125848.7612,19891.27141,2,0.907447203,0.013212568,0.079633024
63,Glasses,BigData,30,24,5,137636.7808,24389.05676,3,0.662126475,0.083427675,0.254916264
64,Glasses,Search Engine,39,35,5,105856.0463,15874.42907,3,0.451903975,0.576074443,0
65,Cheerper,Support,36,32,3,99201.50947,13221.9968,5,0.328483353,0.379566535,0.29209797
66,Cheerper,Support,31,24,7,60066.02904,14828.58313,4,0.22971815,1,0
67,Cheerper,Support,45,41,4,55796.86993,20027.25462,2,0,0.966655223,0.317118685
68,Pear,Sales,36,34,2,146633.6655,19795.69752,3,1,0,0.355704463
69,Pear,Design,36,32,3,89368.17362,20095.40027,2,0.506558747,0.155288688,0.338182304
70,Cheerper,Support,31,23,8,70664.8807,23516.82972,1,0,1,0
71,Glasses,AI,49,46,6,40000,14086.35967,3,0,0.694448231,0.357693886
72,Cheerper,BigData,30,22,9,72567.2292,22090.77186,3,0.525292875,0.507641822,0
73,Pear,Sales,49,48,1,124599.8171,16590.73737,2,0.491913755,0,0.791774025
74,Pear,Design,36,39,1,96835.79183,21979.78499,4,0.693168338,0,0.42215821
75,Cheerper,Support,38,33,5,83432.08675,13381.00151,4,0.381674795,1,0
76,Cheerper,BigData,32,22,9,47428.00825,17113.54742,3,0.300706698,0.837856238,0
77,Pear,Design,30,24,6,125853.7936,24792.91,1,0.909013365,0,0.170001454
78,Cheerper,Search Engine,34,27,7,106821.1101,24094.72968,1,0.389439643,0.71319188,0
79,Cheerper,BigData,43,36,7,87377.40799,20747.84659,3,0.664848659,0.610312841,0
80,Glasses,Sales,44,39,5,152819.5605,19724.42528,1,1,0,0
81,Cheerper,BigData,40,29,9,81801.52662,24792.91,1,0.124117467,0.975551196,0
82,Cheerper,Search Engine,30,22,9,100717.5868,23371.51237,1,0.256398384,0.617171769,0.126109378
83,Glasses,AI,42,36,6,84089.67076,14202.36446,4,0.512599091,0.321976459,0.165167184
84,Glasses,AI,30,22,8,107439.9192,15051.65625,4,1,0.586219156,0
85,Cheerper,Support,49,48,3,61828.07874,19771.24497,1,0,1,0.232995037
86,Cheerper,Support,44,39,5,62863.72165,19349.80448,1,0,1,0.395966513
87,Glasses,BigData,36,35,2,69109.05879,23606.38186,2,0,0.62588623,0.606103386
88,Cheerper,Support,30,22,8,66406.01776,16062.47349,4,0.124640987,1,0
89,Cheerper,Search Engine,30,22,9,75810.47921,20855.7233,2,0.265011288,0.850794469,0
90,Glasses,BigData,34,26,8,40000,22156.07368,2,0,0.72707608,0.452230291
91,Glasses,AI,30,22,7,96891.13153,24792.91,1,0.119851145,0.379776043,0.500607273
92,Glasses,Search Engine,40,38,2,104713.1518,12678.62762,4,0.698554761,0,0.304991193
93,Glasses,AI,42,38,5,98393.77531,24792.91,1,0.029462457,0.13533828,0.835093952
94,Glasses,Search Engine,31,25,6,90675.00223,23563.09886,2,0.388315206,0.606964802,0.004747501
95,Pear,Design,34,30,5,143700.4208,22496.10917,2,0.955847269,0.021623578,0.022741626
96,Cheerper,Support,49,48,5,56577.66873,11242.84549,3,0,1,0
97,Cheerper,Search Engine,30,22,7,99852.95707,19931.15482,3,0.406311066,0.295025636,0.298567762
98,Cheerper,Search Engine,44,35,8,70945.92141,15993.17951,1,0.198884295,0.700288679,0.100824261
99,Glasses,Search Engine,40,40,1,113206.5157,23719.02391,2,0.250853534,0,0.78610613
100,Glasses,AI,41,39,2,64206.29537,16550.2867,3,0.274400394,0.13870731,0.587060556
101,Glasses,AI,38,32,6,86074.38762,19404.57797,2,0.604695402,0.528975888,0
102,Glasses,Search Engine,47,44,4,54113.43185,11909.45031,4,0.502016227,0.135955137,0.362025035
103,Cheerper,Search Engine,31,22,9,109279.5331,15253.00371,4,0.807637563,0.635141953,0
104,Glasses,Design,42,36,6,102081.2231,24792.91,1,0.233259477,0,0.832403559
105,Glasses,BigData,49,47,4,59846.55227,16124.27865,3,0.059281137,0.634515323,0.307079139
106,Glasses,Sales,40,33,6,142138.4616,15501.59131,1,1,0.387810072,0
107,Cheerper,Support,37,30,7,65571.63646,23369.75667,3,0,1,0.085448663
108,Glasses,AI,38,34,4,111455.2584,22328.82805,1,0.434520652,0.538200934,0.027587317
109,Glasses,Design,33,29,5,97279.90928,23399.95233,2,0.582028865,0.036539798,0.381251822
110,Glasses,Search Engine,36,30,6,47833.09133,23985.33423,1,0,1,0.346287714
111,Glasses,Search Engine,47,45,1,92648.52112,14467.03992,3,0.234578638,0.490289109,0.274616698
112,Glasses,AI,30,22,8,89686.37543,22041.85604,2,0.656389427,0.108608897,0.234806265
113,Pear,AI,43,44,1,97047.17046,23746.21839,2,0.047103897,0,1
114,Pear,Design,44,43,1,101694.1405,17936.18793,3,0.646320653,0,0.482951091
115,Cheerper,Support,40,37,3,40000,16095.00229,4,0,0.992928298,0.596189303
116,Pear,Sales,44,37,7,113328.9555,9872.638534,3,1,0,0.099329794
117,Glasses,Design,49,48,2,120123.2543,10458.45659,4,1,0.401170489,0
118,Pear,Sales,36,32,4,129475.8866,11968.83075,3,0.874651504,0,0.25693898
119,Glasses,Search Engine,49,46,3,74422.09411,12011.08809,5,0.708815808,0.137068298,0.15401275
120,Glasses,AI,35,29,7,101841.2082,21738.14205,2,0.785864405,0.35507122,0
121,Glasses,AI,45,41,3,59858.73869,16104.25366,3,0.276204861,0.104391536,0.619260388
122,Cheerper,BigData,32,29,4,106370.0486,15785.48481,5,0.690371741,0.309509159,0
123,Glasses,AI,30,22,9,64197.60267,24792.91,1,0,0.625112997,0.510056075
124,Cheerper,Search Engine,34,28,6,140641.225,19455.61536,2,0.651133102,0.554339352,0
125,Glasses,Search Engine,32,29,3,78729.52708,23447.87152,1,0,0.448051738,0.726098756
126,Pear,Design,30,22,2,115547.7066,21892.29271,3,1,0,0
127,Glasses,Design,30,22,9,115270.7419,18710.71026,3,1,0.050015234,0
128,Glasses,AI,34,25,9,81851.26799,17607.77734,1,0.144485611,0.561111296,0.294214648
129,Glasses,Search Engine,42,36,6,55700.44452,20133.05405,2,0,0.748835422,0.387144145
130,Cheerper,Support,47,47,1,40000,13703.75876,3,0,1,0.683969857
131,Glasses,Search Engine,48,48,1,105143.0449,16348.72668,4,0.377834661,0,0.854468205
132,Cheerper,BigData,39,34,5,112230.8766,15429.82233,3,0.761122376,0.99682198,0
133,Glasses,BigData,37,29,7,53957.02266,24792.91,2,0,0.882748967,0.164902729
134,Cheerper,BigData,40,33,7,40000,18732.8955,2,0,0.85565702,0.217353094
135,Pear,Sales,36,36,1,111310.6112,19311.25856,3,0.968514248,0,0.471782186
136,Pear,Design,35,31,4,129445.163,14952.3908,4,0.69293996,0,0.555377553
137,Glasses,AI,30,22,8,81277.16583,16489.30521,3,0.584521319,0.505445365,0
138,Cheerper,BigData,38,38,1,99293.87498,16622.86912,4,0.383412964,0.30742015,0.309384679
139,Cheerper,Support,44,38,6,48109.08792,13056.09516,4,0,0.615498874,0.502465865
140,Glasses,AI,41,36,5,109977.493,17123.27623,3,0.97770689,0.253797142,0
141,Cheerper,BigData,42,36,6,80375.83015,22221.88753,2,0.046685189,0.674717741,0.278616486
142,Glasses,Search Engine,35,30,5,96140.32375,18139.4698,4,0.762202512,0.418272669,0
143,Glasses,Search Engine,46,47,1,51133.90612,20539.38257,2,0,0.239530874,1
144,Cheerper,BigData,41,38,3,79544.5789,22242.38058,1,0,0.921960496,0.129176556
145,Pear,Sales,42,36,6,88687.76536,20673.56432,1,0.437968999,0,0.575366001
146,Pear,Design,30,26,4,148634.9466,11034.49028,4,1,0,0.023947304
147,Pear,Sales,49,44,6,151704.2267,13693.56046,3,1,0.001788184,0
148,Cheerper,Support,36,33,4,48248.26693,16904.00642,4,0,0.607706329,0.53314149
149,Pear,Sales,39,31,8,103145.0598,20815.86022,1,0.618090763,0.477065826,0
150,Glasses,Search Engine,30,22,5,40000,17968.69357,3,0,0.43107495,0.699880363
151,Pear,Sales,48,46,2,115657.4536,19572.779,1,0.498851669,0,0.699833967
152,Cheerper,Support,39,31,8,66281.18623,19603.96826,3,0,1,0
153,Pear,AI,33,30,3,79788.62594,23372.38708,2,0.194080445,0,0.934110696
154,Cheerper,BigData,30,22,9,66998.60064,15688.45485,4,0.275974842,1,0
155,Pear,Sales,41,36,5,109393.881,22623.5846,1,0.66412417,0,0.725203806
156,Pear,Sales,40,35,5,116663.8647,24792.91,1,0.767774864,0,0.270799988
157,Glasses,Search Engine,33,28,5,97150.72917,21055.55349,3,0.786256745,0.485443229,0
158,Glasses,AI,30,25,6,106976.1872,16715.40203,3,0.688012447,0.540914015,0
159,Pear,Sales,37,36,1,134616.3683,21832.34119,4,1,0,0
160,Glasses,BigData,39,37,3,54211.56986,23276.36859,1,0,0.60517265,0.89507197
161,Glasses,AI,42,42,1,54949.2457,19159.27425,2,0,0,1
162,Glasses,BigData,36,31,4,59173.56378,22785.59407,2,0,0.592470853,0.49941882
163,Pear,Design,33,34,1,91663.80341,13184.94697,5,0.688893661,0,0.915269429
164,Glasses,Search Engine,33,26,7,40000,18261.53827,2,0,0.201566799,1
165,Glasses,BigData,30,22,7,56068.08562,20908.91865,2,0,0.57357811,0.644149458
166,Cheerper,Support,49,47,2,75106.06492,9420.489526,5,0.551569368,0.630643891,0
167,Pear,Sales,36,30,6,125839.1547,17349.63879,3,1,0,0.25539192
168,Glasses,AI,30,23,4,96387.28107,24792.91,1,0.004631515,0.460744265,0.534482764
169,Glasses,Search Engine,33,29,4,55030.36528,22768.43258,1,0,0.781693797,0.684345772
170,Glasses,AI,43,41,2,132713.8922,12679.64028,3,0.686991025,0,0.35210256
171,Cheerper,BigData,30,22,7,104892.9362,15969.07952,3,0.475799088,0.796186669,0
172,Glasses,AI,30,26,4,94328.32482,17637.01918,3,0.717810507,0,0.478223502
173,Glasses,Search Engine,30,22,9,67551.90062,23099.37789,3,0.444141822,0.702497214,0
174,Cheerper,BigData,48,47,1,118825.2418,13941.53708,3,0.358598717,0.896744692,0
175,Glasses,AI,37,27,9,87587.47998,14595.72686,3,0.870379103,0.593400018,0
176,Glasses,AI,34,30,4,92487.82593,24792.91,2,0.31154049,0.263762765,0.424448868
177,Pear,Design,30,22,9,129455.4833,18724.69199,4,1,0.132691339,0
178,Pear,AI,42,40,2,73391.04595,23812.62453,1,0,0.041958943,1
179,Pear,Sales,31,24,7,150795.1687,18652.98866,3,1,0,0.294088097
180,Glasses,AI,49,48,2,127579.2456,11307.35978,3,0.678275798,0,0.451581788
181,Cheerper,BigData,44,42,2,67311.74453,12600.42365,4,0,0.683880114,0.325747127
182,Cheerper,BigData,37,32,6,50310.67066,19350.76197,3,0,0.957815978,0.06244492
183,Glasses,Search Engine,34,27,8,40000,14103.42489,3,0,0.444466856,0.76759636
184,Pear,Design,30,23,7,107412.72,24792.91,1,0.657687408,0.381872431,0
185,Cheerper,BigData,39,34,5,64908.59827,21551.18502,1,0,0.6428301,0.629254599
186,Cheerper,Search Engine,49,44,6,95125.64958,21433.04837,1,0,0.802621761,0.228279558
187,Glasses,Search Engine,38,39,1,40486.96734,24080.86566,2,0,0.428938824,0.949915509
188,Glasses,Design,32,27,6,116141.3093,20839.68754,1,0.609963879,0.016761417,0.37291143
189,Glasses,AI,41,40,2,83576.72742,23502.47911,3,0.43980727,0.19930525,0.360798039
190,Glasses,Design,48,43,5,64007.6547,18920.43217,2,0.441174179,0.357107864,0.20212546
191,Cheerper,Support,35,33,2,40000,12129.58218,4,0,0.957411489,0.277635718
192,Glasses,AI,35,33,2,103082.7871,14882.75498,3,0.52915831,0.174871726,0.295729708
193,Cheerper,BigData,42,36,6,40000,19194.86224,2,0,0.873438811,0.199354915
194,Glasses,Search Engine,41,36,4,117676.2192,22115.8759,1,0.43405398,0.596728338,0
195,Pear,Sales,30,22,6,97601.17001,21873.61014,3,1,0,0.410301023
196,Glasses,AI,45,38,7,87894.00928,11527.62182,4,0.91013738,0.144648427,0
197,Glasses,BigData,38,37,2,56893.46592,23306.29245,2,0,0.42549059,0.713300257
198,Cheerper,Support,41,33,8,81891.63744,15205.56957,2,0.065840564,1,0
199,Cheerper,Support,35,26,9,41643.03476,22495.97163,2,0,1,0
200,Glasses,Search Engine,49,48,1,41418.51074,20978.00841,2,0,0.199875515,1
201,Cheerper,Search Engine,35,29,6,89569.49402,19015.64648,3,0.670517543,0.465212719,0
202,Pear,Design,30,22,4,120088.2627,20315.84513,3,0.974931031,0.024741544,0.000303081
203,Glasses,Search Engine,36,33,3,74688.53847,23981.13542,2,0.258949957,0.330052095,0.411112764
204,Cheerper,Support,45,43,2,40000,13581.95488,4,0,1,0.363081791
205,Cheerper,Support,38,30,7,90668.27101,19831.27673,2,0.27509102,1,0
206,Glasses,Search Engine,37,36,2,42129.43982,18933.45065,3,0,0.071997129,1
207,Glasses,Search Engine,31,25,6,96714.38202,24792.91,1,0.231119393,0.270047431,0.498829914
208,Glasses,AI,46,44,3,98324.7489,19043.87814,3,0.401370125,0.060236235,0.538738065
209,Glasses,Design,34,27,7,94441.48366,9000,4,0.837376933,0.041476377,0.120919172
210,Pear,Sales,49,47,4,118889.4852,21978.93725,1,0.898713111,0,0.624390107
211,Pear,Sales,31,27,4,97625.73072,11472.91543,3,0.535822468,0,0.643755042
212,Glasses,BigData,30,25,4,49211.48423,23305.94291,3,0.204977801,0.696585264,0.098332571
213,Glasses,Search Engine,35,30,5,40000,24792.91,1,0,0.149660238,1
214,Cheerper,Search Engine,49,48,4,66853.97491,15034.1571,3,0.219149838,0.616028773,0.164658363
215,Glasses,Search Engine,36,29,7,40000,13253.15194,4,0.222288053,0.626165521,0.15182174
216,Glasses,Search Engine,47,48,1,93028.59966,22760.4588,3,0.153653256,0.144010546,0.702266933
217,Cheerper,BigData,33,27,6,80857.19042,14580.8081,5,0.335326152,0.302877944,0.361286979
218,Glasses,Search Engine,41,36,4,104278.4381,16129.82832,3,0.29714726,0.360423156,0.342476145
219,Cheerper,BigData,30,23,8,92241.98771,22232.71417,2,0.175188827,1,0
220,Glasses,AI,49,48,1,115276.7575,20432.79361,2,0.594085365,0.497468778,0
221,Cheerper,BigData,43,40,3,92148.41452,17033.82259,3,0.071617364,0.901353109,0.02713062
222,Pear,Sales,40,37,3,83343.46986,13609.54792,4,0.815932014,0,0.68566721
223,Glasses,Design,39,36,2,92712.48728,15453.83829,3,0.553267309,0.183510485,0.263191627
224,Glasses,Design,31,23,8,120671.6055,19583.37513,3,1,0.232788067,0
225,Glasses,Search Engine,34,25,9,76413.37396,20543.25561,2,0.370218705,0.557896548,0.072180879
226,Cheerper,BigData,48,40,8,43491.80656,13416.95609,2,0,0.62547879,0.809798268
227,Glasses,Search Engine,35,30,6,79254.98576,23202.24668,1,0.26114409,0.668736119,0.070382491
228,Pear,Sales,43,43,1,145940.0416,18779.27944,3,1,0.043837675,0
229,Pear,AI,34,33,1,95560.47582,18904.17292,3,0.306205111,0,0.938789126
230,Glasses,BigData,31,22,9,55293.26624,13062.91023,4,0.5318474,0.459347742,0.008972581
231,Cheerper,Support,34,25,9,57082.60196,24792.91,2,0,1,0
232,Pear,Sales,49,43,7,112864.3676,11718.94219,3,1,0,0.090552067
233,Glasses,Design,41,34,7,77769.13789,21345.63955,1,0.365434591,0.622058456,0.013070331
234,Pear,AI,37,34,3,55029.82611,15119.63087,4,0.266668803,0.171110624,0.562134531
235,Pear,Sales,49,47,3,116181.9994,16343.98126,1,0.326101905,0,1
236,Glasses,BigData,49,44,6,48118.54045,11496.41421,3,0,0.227638923,1
237,Pear,Sales,31,28,3,82835.6882,20303.09437,3,0.627157895,0,0.498379312
238,Glasses,AI,42,36,5,107499.1821,21520.47996,2,0.521621937,0.304305748,0.174378066
239,Glasses,AI,37,30,7,117798.2426,24792.91,1,0,0.347345655,0.744514603
240,Cheerper,BigData,38,27,9,88419.91525,15470.03786,2,0.619599205,0.84077423,0
241,Cheerper,Search Engine,34,24,9,107169.5173,24792.91,1,0.57681974,0.731278584,0
242,Pear,Sales,42,40,2,153000,24792.91,1,1,0,0.027024001
243,Pear,Design,46,44,2,113074.722,13203.1581,3,0.604720686,0,0.496303047
244,Pear,Sales,46,45,1,121996.1941,19367.4987,2,0.715276388,0,0.806421939
245,Cheerper,Support,41,39,2,85966.10311,24540.29675,1,0,0.990519087,0.282600833
246,Glasses,Design,35,24,9,95325.17852,14765.74072,3,1,0.259531613,0
247,Cheerper,BigData,31,24,7,67220.46363,12879.63117,3,0.280766233,0.673520986,0.04600737
248,Glasses,AI,42,40,3,55357.01176,19619.50484,2,0.062642621,0.402511924,0.534883764
249,Cheerper,BigData,37,29,7,92789.91672,20982.30989,3,0.634687301,0.940386973,0
250,Cheerper,Support,34,28,6,99354.10325,13320.04381,4,0.481660612,0.941625152,0
251,Pear,Sales,34,30,5,69519.1565,15776.27767,3,0.434180077,0,0.61529413
252,Pear,Design,37,33,4,68071.01043,23787.88135,1,0,0,1
253,Cheerper,BigData,42,36,5,53459.9237,14347.76619,3,0,0.535564543,0.667316079
254,Pear,Sales,34,29,6,113151.7388,24768.89298,1,0.716238971,0,0.332679774
255,Glasses,Search Engine,31,25,5,72972.16869,23900.51367,3,0.137962784,0.108448221,0.753917516
256,Pear,Sales,46,38,9,115534.6523,11551.91,2,1,0,0
257,Glasses,Design,44,39,5,77870.31815,20241.47536,1,0.278832494,0,0.72983434
258,Glasses,AI,47,45,2,123040.6199,16176.34537,4,0.726255002,0.055626886,0.21789026
259,Pear,AI,42,42,1,90776.10611,24792.91,3,0.235381481,0,1
260,Cheerper,BigData,42,36,7,44202.69156,20188.21576,1,0,1,0
261,Pear,AI,36,31,4,140391.8818,24792.91,2,0.312276404,0,0.938973922
262,Glasses,Search Engine,41,40,2,49554.98616,16109.497,3,0,0.631155981,0.518905879
263,Cheerper,BigData,30,22,7,111714.4907,22892.30466,2,0.504179716,0.903340776,0
264,Cheerper,Support,31,25,6,40000,24792.91,1,0,1,0.442522987
265,Glasses,Search Engine,34,28,6,62573.47387,20539.43924,2,0.303237877,0.245153218,0.452310323
266,Pear,AI,37,39,1,77287.45353,14787.76017,4,0,0,1
267,Cheerper,BigData,35,30,5,71206.30631,9517.516318,4,0.305689203,0.641270939,0.052818815
268,Cheerper,BigData,41,41,1,62260.93332,14268.30229,5,0,0.14627916,0.923652396
269,Glasses,Search Engine,44,39,5,105991.8517,21277.27513,3,0.719770119,0.589391623,0
270,Cheerper,Support,41,38,3,40000,21124.90676,3,0,0.687940728,0.65000314
271,Pear,Design,31,23,8,81822.17022,20109.11485,3,1,0.00969193,0
272,Pear,AI,30,24,1,101943.1633,22356.2083,3,0.451732156,0.150622944,0.397395726
273,Glasses,Search Engine,40,33,7,58819.01939,21492.87573,2,0.013491584,0.455695075,0.530344868
274,Pear,AI,40,40,1,48459.13703,21888.84374,1,0,0.22815358,1
275,Glasses,Search Engine,30,22,9,78835.33059,13910.97992,3,0.647369701,0.480958134,0
276,Cheerper,Search Engine,44,40,4,142552.6649,16659.51635,2,0.565993136,0.375900231,0.058285046
277,Glasses,BigData,40,38,2,47743.47194,21878.89502,1,0,0.689969651,1
278,Cheerper,Support,36,34,2,52205.55586,19534.98657,3,0,0.920252733,0.238744821
279,Glasses,AI,49,48,3,126939.7587,22588.40414,1,0.083698872,0.557746299,0.358331528
280,Pear,Sales,39,34,5,153000,24792.91,1,0.658812123,0,0.361388226
281,Pear,Design,30,26,2,148995.1196,19153.00085,3,0.953391335,0,0.364594937
282,Pear,Sales,49,47,1,88204.84804,23015.83757,1,0.303226174,0,0.989681488
283,Pear,Sales,37,28,9,123016.2458,24792.91,1,0.701179095,0.231359511,0.06777433
284,Cheerper,AI,34,25,9,134321.4056,21849.91345,2,1,0.871444259,0
285,Pear,Design,44,43,1,40000,24792.91,1,0,0,1
286,Glasses,Search Engine,37,36,2,105770.3637,22125.75854,1,0.281826223,0.447897631,0.270548856
287,Glasses,AI,38,34,3,87433.74924,20032.18587,3,0.410696812,0.395657494,0.193471501
288,Glasses,AI,41,40,1,102713.7072,16279.00013,5,0.764415301,0.261789893,0
289,Glasses,Design,31,23,8,108127.452,14637.17872,4,1,0.013593566,0
290,Glasses,AI,39,35,3,108494.189,24792.91,1,0.22499491,0.181362473,0.593707364
291,Pear,Sales,33,30,3,100462.3147,12583.79147,4,0.885569132,0,0.718608493
292,Glasses,Design,39,35,5,90117.53585,9000,5,1,0.212559216,0
293,Glasses,Design,48,43,4,109516.9982,15154.09231,2,0.409485929,0.15879645,0.431308021
294,Pear,Sales,32,25,7,99096.53183,24792.91,1,0.881756897,0,0.775566374
295,Glasses,AI,49,48,1,56798.24621,16371.44525,3,0.193100059,0.140194239,0.666825337
296,Pear,Sales,43,37,6,112971.1934,15953.17386,3,0.806627657,0,0.673843552
297,Pear,AI,39,33,6,68515.99603,18083.60106,2,0.066642836,0.427827953,0.505423379
298,Pear,Design,33,28,5,68301.16264,24792.91,1,0.039590235,0.13138133,0.828880455
299,Pear,Design,46,40,6,129019.6616,19463.30804,2,0.70751175,0,0.32357412
300,Pear,Sales,31,26,5,98626.0094,24792.91,1,0.781706112,0.063034627,0.1552189
301,Glasses,Search Engine,35,31,4,123392.715,18680.44696,4,0.904685191,0.014761775,0.080805176
302,Cheerper,Search Engine,46,41,4,83998.00667,24246.06592,1,0,1,0
303,Glasses,AI,40,36,4,119713.5203,10555.6253,5,1,0.068025293,0
304,Glasses,AI,37,34,3,101389.5839,18495.06736,2,0.417900049,0.203272044,0.378644406
305,Cheerper,Support,39,37,2,50800.03099,13823.78735,4,0,0.602071441,0.645230355
306,Pear,Sales,39,34,5,143874.8598,12666.97941,3,1,0,0.215838892
307,Glasses,Design,44,39,5,96436.742,23682.82604,1,0.400966287,0.357098758,0.242067307
308,Cheerper,AI,38,25,9,127629.2246,13462.10906,3,1,0.81121823,0
309,Cheerper,Support,37,31,6,58375.66793,24792.91,1,0,1,0
310,Cheerper,Support,48,45,4,40000,17195.87953,3,0,1,0.425214847
311,Cheerper,BigData,47,41,6,47646.64175,15316.94704,1,0,1,0.542053241
312,Pear,Sales,41,38,3,153000,14460.96957,2,1,0,0
313,Cheerper,BigData,33,31,3,79881.15922,22534.64138,2,0,0.838670625,0.215713151
